category_id,rental_location_id,rate_type_id,season_id,time_measurement,units,price,included_km,extra_km_price
1,1,1,1,1,1,60.00,0,0.00
1,1,1,1,1,2,55.00,0,0.00
1,1,1,1,1,4,45.00,0,0.00
1,1,1,1,1,15,40.00,0,0.00
1,1,1,2,1,1,50.00,0,0.00
1,1,1,2,1,2,40.00,0,0.00
1,1,1,2,1,4,35.00,0,0.00
1,1,1,2,1,15,30.00,0,0.00
1,1,1,3,1,1,40.00,0,0.00
1,1,1,3,1,2,35.00,0,0.00
1,1,1,3,1,4,30.00,0,0.00
1,1,1,3,1,15,25.00,0,0.00
2,1,1,4,1,1,90.00,0,0.00
2,1,1,4,1,2,80.00,0,0.00
2,1,1,4,1,4,75.00,0,0.00
2,1,1,4,1,8,70.00,0,0.00
2,1,1,4,1,15,60.00,0,0.00
2,1,1,4,1,30,50.00,0,0.00
2,1,1,5,1,1,70.00,0,0.00
2,1,1,5,1,2,65.00,0,0.00
2,1,1,5,1,4,60.00,0,0.00
2,1,1,5,1,8,50.00,0,0.00
2,1,1,5,1,15,45.00,0,0.00
2,1,1,5,1,30,40.00,0,0.00
3,1,1,,1,1,110.00,0,0.00
1,2,1,1,1,1,70.00,0,0.00
1,2,1,1,1,2,65.00,0,0.00
1,2,1,1,1,4,55.00,0,0.00
1,2,1,1,1,15,50.00,0,0.00
1,2,1,2,1,1,60.00,0,0.00
1,2,1,2,1,2,50.00,0,0.00
1,2,1,2,1,4,45.00,0,0.00
1,2,1,2,1,15,40.00,0,0.00
1,2,1,3,1,1,50.00,0,0.00
1,2,1,3,1,2,45.00,0,0.00
1,2,1,3,1,4,40.00,0,0.00
1,2,1,3,1,15,35.00,0,0.00
2,2,1,4,1,1,100.00,0,0.00
2,2,1,4,1,2,90.00,0,0.00
2,2,1,4,1,4,85.00,0,0.00
2,2,1,4,1,8,80.00,0,0.00
2,2,1,4,1,15,70.00,0,0.00
2,2,1,4,1,30,60.00,0,0.00
2,2,1,5,1,1,80.00,0,0.00
2,2,1,5,1,2,75.00,0,0.00
2,2,1,5,1,4,70.00,0,0.00
2,2,1,5,1,8,60.00,0,0.00
2,2,1,5,1,15,55.00,0,0.00
2,2,1,5,1,30,50.00,0,0.00
3,2,1,,1,1,120.00,0,0.00